petition_id,slug,title,created_at,signatures_total,comment_total,state,granularity,n_decision_makers
490960489,stop-the-ai-datacenter-in-independence-missouri,"Stop the AI datacenter in Independence, Missouri",2026-01-11T05:24:49+00:00,2709,51,MO,city,7
490918520,stop-the-building-of-a-mega-data-center-in-butte-montana,"Stop the building of a mega data center in Butte, Montana",2025-12-08T22:22:57+00:00,1656,45,MT,city,4
37683524,prohibit-data-centers-near-residential-areas-in-prince-william-county-va,"Prohibit Data Centers Near Residential Areas in Prince William County, VA",2023-10-09T16:11:32+00:00,1295,2,,none,1
490610240,stop-rezoning-in-adamstown-for-data-centers,Stop Rezoning in Adamstown for Data Centers,2025-06-11T22:21:36+00:00,807,4,MD,city,3
490843785,stop-the-construction-of-data-centers-in-creagerstown-thurmont,Stop the construction of  data centers in Creagerstown/ Thurmont,2025-10-20T17:15:06+00:00,744,7,MD,city,3
491241670,stop-data-center-development-in-alaska,Stop data center development in Alaska,2026-05-14T20:12:43+00:00,846,18,AK,state,2
490709295,stop-pollution-from-the-louisville-ai-data-center,Stop Pollution from the Louisville AI Data Center,2025-08-19T16:02:48+00:00,568,8,KY,city,13
491173427,ban-data-centers-in-ohio,Ban data centers in Ohio,2026-04-05T03:13:55+00:00,755,13,OH,city,3
490913114,protect-virginia-communities-regulate-data-center-growth-before-it-s-too-late,Protect Virginia Communities — Regulate Data Center Growth Before It’s Too Late,2025-12-04T20:03:52+00:00,462,1,VA,state,3
491225659,stop-the-expansion-of-maysville-s-data-center,Stop the expansion of Maysville's data center,2026-05-07T16:37:22+00:00,474,8,GA,city,1
490957625,say-no-to-all-ai-data-centers-in-wv-counties,Say NO to all AI data centers in WV counties,2026-01-09T00:21:21+00:00,441,9,,none,4
490638197,halt-the-bpp-project-in-taylor-tx,"Halt the BPP Project in Taylor, TX",2025-07-02T11:23:17+00:00,211,3,TX,city,5
490902105,stop-new-data-centers-in-tucson-protect-our-desert-our-water-our-communities,"Stop New Data Centers in Tucson — Protect Our Desert, Our Water, & Our Communities",2025-11-26T19:57:25+00:00,396,3,AZ,state,2
490982375,stop-all-data-center-approvals-in-madison-county-for-one-year,Stop all data center approvals in Madison County for one year!,2026-01-23T18:09:43+00:00,136,4,IL,county,30
490913085,protect-montana-ratepayers-don-t-let-data-centers-raise-our-power-bills,Protect Montana Ratepayers — Don’t Let Data Centers Raise Our Power Bills,2025-12-04T19:44:35+00:00,160,1,MT,state,7
490849448,stop-data-center-from-being-built-on-eskimo-hill-road-stafford-va,"Stop Data Center From Being Built on Eskimo Hill Road, Stafford Va",2025-10-23T19:11:34+00:00,114,2,VA,county,8
491052055,will-we-lose-our-water-petition-to-disapprove-of-data-centers,WILL WE LOSE OUR WATER? PETITION TO DISAPPROVE OF DATA CENTERS,2026-02-24T19:45:15+00:00,298,5,NV,state,3
491191190,reject-permits-for-the-ai-data-center-in-bonner-mt,"Reject permits for the AI data center in Bonner, MT",2026-04-15T15:07:24+00:00,50456,545,MT,city,3
490790691,protect-pennhurst-from-data-center-development,Protect Pennhurst from Data Center Development,2025-09-22T00:33:18+00:00,26355,570,,none,0
490892139,ban-ai-data-centers-in-michigan,Ban AI Data Centers in Michigan,2025-11-19T13:20:48+00:00,19332,228,MI,state,7
490793147,no-more-data-centers-in-st-louis,No More Data Centers in St. Louis,2025-09-23T10:40:07+00:00,14182,292,MO,city,12
490429175,efforts-to-push-the-supercomputer-out-of-memphis,Efforts to “push” the Supercomputer out of Memphis.,2025-02-19T16:01:48+00:00,12669,201,TN,city,3
490793704,stop-project-baccara-project-eagle-on-southern-border-of-surprise-az-in-maricopa-county,"Stop Project Baccara/ Project Eagle on southern border of Surprise, AZ in Maricopa County",2025-09-23T16:34:17+00:00,11651,135,AZ,city,9
490966685,no-data-centers-in-franklin-county,No data centers in Franklin  county!,2026-01-15T14:58:54+00:00,7010,147,MO,county,3
491157504,no-data-centers-in-boulder-city,No Data Centers in Boulder City,2026-03-26T01:43:17+00:00,6676,131,NV,city,6
490704642,save-lake-whitney-stop-the-water-reallocation,SAVE LAKE WHITNEY - STOP THE WATER REALLOCATION,2025-08-16T20:09:58+00:00,6093,66,TX,city,1
490710832,stand-against-data-center-new-hill-nc,"Stand Against Data Center New Hill, NC",2025-08-20T14:09:14+00:00,5491,100,NC,city,3
491225757,stop-kevin-o-leary-s-surprise-40-000-acre-data-center-from-devastating-utah-communities,"Stop Kevin O'Leary's Surprise 40,000-Acre Data Center from Devastating Utah Communities",2026-05-07T17:18:00+00:00,4053,49,UT,state,2
490919980,say-no-to-the-skybox-data-center-and-substation-in-round-rock-tx,"Say No to the Skybox Data Center and Substation in Round Rock, TX",2025-12-09T23:19:45+00:00,3380,100,TX,city,7
490940987,halt-further-construction-of-the-t5-chicago-iv-data-center,Halt further construction of the T5@Chicago IV data center,2025-12-27T02:12:43+00:00,2856,49,IL,county,2
491213769,petition-oppose-proposed-zoning-change-for-828-8-acre-in-red-oak-tx,PETITION: OPPOSE PROPOSED ZONING CHANGE FOR 828​.​8-ACRE IN RED OAK TX,2026-04-30T02:14:51+00:00,2455,45,TX,city,3
491323128,demand-an-immediate-data-center-moratorium-in-richland-and-west-richland,Demand an Immediate Data Center Moratorium in Richland and West Richland!,2026-06-03T15:27:55+00:00,3417,51,WA,county,15
490889347,say-no-to-the-data-center-on-euharlee-rd,Say NO to the Data Center on Euharlee Rd.,2025-11-17T19:59:50+00:00,2226,33,GA,city,0
37532234,conserve-henry,Conserve Henry!,2023-09-24T23:13:16+00:00,2148,1,,none,0
491151316,no-ai-data-center-in-bastrop-county,No AI Data Center in Bastrop County!,2026-03-22T22:17:22+00:00,2300,68,TX,county,5
490364083,citizens-opposed-to-data-centers-in-henry-county-ga,"Citizens Opposed to DATA Centers in Henry County, GA",2025-01-06T18:59:28+00:00,1771,28,GA,county,1
491155597,stop-the-construction-of-ai-data-centers-in-burke-catawba-county-do-not-donate-here,STOP the construction of AI Data Centers in Burke & Catawba County- DO NOT DONATE $$ HERE,2026-03-25T00:53:01+00:00,1427,23,NC,state,6
491011020,put-hancock-county-first-pause-the-hawesville-data-center-project,Put Hancock County First: Pause the Hawesville Data Center Project,2026-02-03T18:22:43+00:00,1361,11,KY,state,5
490646661,say-no-to-data-centers-in-louisa-county-va,"Say No to Data Centers in Louisa County, VA",2025-07-08T22:01:25+00:00,1233,16,VA,city,11
490600514,protect-our-community-say-no-to-invasive-data-centers,Protect our community - Say NO to invasive Data Centers,2025-06-05T04:19:25+00:00,893,9,TX,city,3
490909252,stop-the-700-acre-project-marvel-data-center-in-bessemer-alabama,"Stop the 700-Acre “Project Marvel” Data Center in Bessemer, Alabama",2025-12-02T13:50:37+00:00,967,14,AL,state,6
491038252,stop-data-centers-in-aurora-il,Stop Data Centers in Aurora IL,2026-02-18T03:05:33+00:00,1020,10,IL,city,13
490910439,oppose-the-construction-of-project-vector-in-dekalb-il,"Oppose the construction of Project Vector in Dekalb, IL",2025-12-03T05:09:08+00:00,824,22,IL,city,4
35548747,stop-devlin-technology-park-other-data-centers-next-to-residential-areas,Stop Devlin Technology Park & Other Data Centers Next to Residential Areas,2023-02-25T03:11:56+00:00,759,1,,none,1
490973693,protect-texas-communities-from-data-center-overload,Protect Texas Communities from Data Center Overload,2026-01-20T16:07:07+00:00,737,1,TX,state,0
491224394,say-no-to-the-data-center-in-east-whiteland-pennsylvania,"Say NO to the Data Center in East Whiteland, Pennsylvania",2026-05-07T00:37:44+00:00,783,12,PA,city,3
490655275,stop-data-center-developments-in-northwest-indiana,Stop Data Center Developments in Northwest Indiana,2025-07-15T04:11:04+00:00,780,3,IN,city,3
490909767,stop-the-6-million-sq-ft-data-center-in-delaware-pass-real-regulations-first,Stop the 6-Million Sq Ft Data Center in Delaware — Pass Real Regulations First,2025-12-02T18:54:34+00:00,833,8,DE,state,5
490771924,protect-warrenton-no-data-center-without-local-safeguards,Protect Warrenton – No Data Center Without Local Safeguards,2025-09-12T20:27:57+00:00,448,13,,none,0
491066124,no-data-centers-in-west-richland,No Data Centers in West Richland,2026-03-05T19:40:38+00:00,574,4,WA,city,8
490760217,urge-illinois-to-protect-citizens-from-unregulated-data-center-construction,Urge Illinois to Protect Citizens from Unregulated Data Center Construction,2025-09-07T17:40:15+00:00,618,3,IL,state,3
491257855,save-pennhurst-asylum-from-becoming-a-ai-data-center,Save Pennhurst Asylum from Becoming a AI Data Center!,2026-05-17T21:45:31+00:00,655,14,PA,city,3
490839340,fight-against-google-ai-data-center-fort-wayne-in,"Fight Against Google AI Data Center, Fort Wayne IN",2025-10-17T16:23:48+00:00,450,4,IN,city,3
490848054,oppose-the-major-cpa-seeking-to-remove-2-077-acres-of-hassayampa-ranch-for-industrial-use,"Oppose the Major CPA seeking to remove 2,077 acres of Hassayampa Ranch for industrial use",2025-10-22T22:58:19+00:00,247,2,AZ,city,3
491169735,no-data-center-in-walnut-cove,No Data Center in Walnut Cove,2026-04-02T15:07:28+00:00,199,0,NC,city,6
490975772,stop-the-massive-nebius-data-center-in-independence-mo,"Stop the Massive Nebius Data Center in Independence, MO",2026-01-21T22:11:39+00:00,145,8,MO,state,5
491220891,stop-the-data-centers-coming-to-wichita-falls-texas,"Stop the data centers coming to Wichita Falls, Texas",2026-05-05T02:10:25+00:00,161,2,TX,city,7
491338330,implement-a-moratorium-on-new-data-centers-in-cheyenne,Implement a moratorium on new data centers in Cheyenne.,2026-06-10T05:23:25+00:00,225,3,WY,city,10
490918051,stop-the-construction-of-a-data-center-in-imperial-valley,Stop the construction of a data center in Imperial Valley,2025-12-08T16:55:05+00:00,95,1,,none,3
36223079,oppose-the-creation-of-zoning-laws-that-help-data-centers-and-urban-development-thrive-in-loudoun-county,Oppose The rapid growth Data centers in Loudoun County by the changing Zoning laws!,2023-05-09T18:52:31+00:00,75,3,,none,1
491147296,ban-secret-deals-on-minnesota-data-centers,Ban Secret Deals on Minnesota Data Centers,2026-03-20T16:19:27+00:00,52,1,MN,state,4
490869251,stop-the-opening-of-the-microsoft-data-center-in-kenosha,Stop the opening of the Microsoft Data Center in Kenosha,2025-11-05T00:58:14+00:00,23193,475,WI,city,18
490934794,prohibit-the-leap-project-from-using-eagle-creek-reservoir,Prohibit the LEAP project from using Eagle Creek reservoir,2025-12-20T18:18:56+00:00,18473,212,IN,city,7
491195269,petition-to-halt-the-kenilworth-ai-data-center-from-being-built-in-kenilworth-nj,Petition to halt the Kenilworth AI data center from being built in Kenilworth NJ,2026-04-17T20:33:55+00:00,12617,247,NJ,county,11
490915852,say-no-to-the-construction-of-project-tango-ai-data-center-in-palm-beach-county,"Say NO to the construction of ""Project Tango"" AI data center in Palm Beach County",2025-12-06T19:16:24+00:00,11350,287,FL,county,9
491332862,protect-spokane-s-water-power-grid-and-aquifer-say-no-to-data-centers,"Protect Spokane’s Water, Power Grid, and Aquifer — Say No to Data Centers",2026-06-07T18:31:08+00:00,16643,297,WA,city,8
491060128,oppose-the-atlas-data-center-south-whitehall-township-pa,"Oppose the Atlas data center South Whitehall Township, PA",2026-03-02T03:47:08+00:00,9729,164,PA,county,1
490446039,halt-the-proposed-data-center-land-development-in-franklin-township,Halt the Proposed Data Center Land Development in Franklin Township,2025-02-28T20:45:09+00:00,8174,136,IN,city,6
491161108,pause-data-centers-in-calvert-county-support-a-moratorium-10-000-signatures-needed,"Pause Data Centers in Calvert County: Support a Moratorium (10,000 Signatures Needed)",2026-03-27T23:49:30+00:00,10131,166,MD,county,5
491329089,simon-says-no-to-a-300-megawatt-ai-factory-and-gbhs-does-too,Simon Says No to a 300-Megawatt AI Factory — and GBHS Does Too,2026-06-05T21:14:05+00:00,11945,93,AL,state,10
490928816,stop-the-data-center-from-coming-to-walterboro-sc,"Stop the data center from coming to Walterboro, SC",2025-12-16T15:05:20+00:00,7731,142,SC,city,3
490947784,halt-the-annexation-and-rezoning-of-429-acres-in-shelbyville-in,"Halt the annexation and rezoning of 429 acres in Shelbyville, IN",2025-12-31T21:46:58+00:00,7490,126,,none,8
490965082,halt-construction-of-ai-data-center-in-little-rock-ar,"Halt construction of AI data center in Little Rock, AR",2026-01-14T14:20:53+00:00,7018,255,AR,city,8
491193605,stop-the-ai-data-center-from-being-built-in-nodaway-county-and-other-missouri-counties,Stop the AI data center from being built in Nodaway County and other Missouri Counties,2026-04-16T21:06:12+00:00,7193,56,,none,6
490678489,demand-nipsco-lower-utility-rates-in-northwest-in,Demand NIPSCO Lower Utility Rates in Northwest IN,2025-07-31T03:41:47+00:00,6603,110,IN,state,1
490669232,stop-the-balloonist-llc-data-center-in-menomonie-protect-our-water-land-and-community,"Stop the Balloonist LLC Data Center in Menomonie: Protect Our Water, Land, and Community",2025-07-24T20:43:05+00:00,6438,64,WI,city,0
491012088,banning-regulating-data-centers-in-gilroy,Banning & Regulating Data Centers in Gilroy,2026-02-04T03:15:19+00:00,6596,135,CA,city,7
491090588,stop-ai-data-centers-in-rowan-salisbury-nc,Stop AI Data Centers in Rowan/Salisbury NC,2026-03-11T15:20:48+00:00,6802,122,NC,city,10
490693498,deny-the-proposed-data-centers,Deny the Proposed Data Centers,2025-08-10T16:52:54+00:00,5925,89,IL,city,10
491058892,stop-data-center-in-muscogee-county,Stop data center in Muscogee County,2026-03-01T02:17:18+00:00,5948,170,GA,city,11
490867173,block-project-steel-and-project-cardinal-in-kendall-county-yorkville-il,"Block Project Steel and Project Cardinal in Kendall County/Yorkville, IL",2025-11-03T20:05:17+00:00,5350,66,IL,city,9
491186972,no-data-center-in-socorro-nm-behind-m-mountain,"No Data Center in Socorro, NM behind M Mountain!",2026-04-13T16:10:19+00:00,5116,68,,none,2
491120009,oppose-the-proposed-data-center-rezoning-in-rural-hall-nc,"Oppose the Proposed Data Center Rezoning in Rural Hall, NC",2026-03-15T18:02:07+00:00,5383,150,NC,county,0
490908362,reject-data-center-proposals-in-troy-illinois,"Reject data center proposals in Troy, Illinois",2025-12-01T21:38:08+00:00,4547,74,IL,city,9
490503617,no-data-centers-in-oldham-county-only-sign-share-petition-not-for-donations,No Data Centers in Oldham County **ONLY sign/share petition! NOT FOR DONATIONS!,2025-03-30T15:50:53+00:00,4092,70,KY,county,2
490980986,stop-data-center-development-at-crooked-creek-beef-farm-pacific-mo,"Stop data center development at Crooked Creek Beef Farm - Pacific, MO",2026-01-23T14:56:19+00:00,4126,70,MO,county,8
490507868,stop-the-port-washington-wi-data-center,"Stop The Port Washington, WI Data Center",2025-04-01T23:50:34+00:00,3877,90,WI,county,2
490894138,stop-infrakey-data-center-from-building-in-lacy-lakeview,Stop Infrakey Data Center from building in Lacy Lakeview,2025-11-20T17:59:21+00:00,3752,84,TX,city,3
491231043,please-sign-up-stop-the-proposed-data-center-near-cedar-creek-lake,Please sign up:  Stop the proposed data center near Cedar Creek Lake,2026-05-10T00:04:44+00:00,3868,37,,none,5
491252948,protect-our-community-enact-strong-regulations-and-moratoriums-on-falls-twshp-data-center,Protect Our Community: Enact Strong Regulations and Moratoriums on Falls Twshp Data Center,2026-05-17T11:11:53+00:00,4581,34,PA,city,0
491137410,save-piqua-stop-the-data-center,Save Piqua! Stop the data center,2026-03-18T08:27:41+00:00,3500,42,OH,city,4
490530378,protect-local-freedom-urge-governor-morrisey-to-veto-data-center-bill,Protect Local Freedom: Urge Governor Morrisey to Veto Data Center Bill,2025-04-16T19:19:49+00:00,3418,99,WV,state,1
490905457,stop-the-construction-of-the-data-center-at-aten-rd-and-clark-rd,Stop the construction of the data center at Aten Rd. and Clark Rd.,2025-11-29T18:08:27+00:00,3474,101,CA,state,5
491033316,no-data-centers-in-san-angelo-texas-or-tom-green-county,"No Data Centers in San Angelo, Texas or Tom Green County",2026-02-15T04:05:51+00:00,3573,90,TX,city,7
491104613,prohibit-ai-data-centers-in-the-pinelands,Prohibit AI data centers in the Pinelands,2026-03-13T00:57:38+00:00,3350,35,NJ,city,3
491205650,stop-the-data-center-in-wisconsin-rapids,Stop the data center in Wisconsin Rapids,2026-04-24T16:51:41+00:00,3345,46,,none,0
27214960,protect-valencia-county-water-it-s-our-water,Protect Valencia County Water. IT’S OUR WATER!,2021-02-05T22:04:05+00:00,3132,0,,none,5
490849080,no-data-center-in-page-az,"No Data Center in Page, AZ",2025-10-23T15:09:16+00:00,3214,100,AZ,city,5
490948830,stop-the-ai-data-centers-in-gilroy,Stop the AI data centers in Gilroy,2026-01-01T22:33:00+00:00,3720,54,CA,city,7
491239643,la-pine-and-surrounding-citizens-united-against-the-installation-of-a-data-center,La Pine (and surrounding) Citizens United against the installation of a Data Center,2026-05-13T22:21:46+00:00,3014,46,,none,0
491212716,stop-the-ai-data-centers-in-texarkana,Stop the AI Data Centers in Texarkana,2026-04-29T14:06:02+00:00,3241,62,TX,city,4
490913091,big-tech-wants-our-community-lowell-mi-and-great-lakes-allies-say-no,"Big Tech Wants Our Community. Lowell, MI and Great Lakes Allies Say NO.",2025-12-04T19:50:16+00:00,3397,33,MI,city,9
490890842,prevent-ai-data-center-development-in-wilmington-oh,"Prevent AI data center development in Wilmington, OH",2025-11-18T18:05:06+00:00,2974,63,OH,city,3
490474844,stop-the-data-center-monrovia,STOP THE DATA CENTER MONROVIA,2025-03-16T17:11:00+00:00,3247,36,IN,city,7
490782838,oppose-rezoning-for-data-center-expansion-in-monrovia,Oppose Rezoning for Data Center Expansion in Monrovia,2025-09-17T19:47:15+00:00,2733,36,IN,city,3
490959622,oppose-data-centers-in-linfield-and-limerick,Oppose data centers in Linfield and Limerick,2026-01-10T13:58:31+00:00,3967,45,PA,city,0
490364990,stop-project-sail-in-coweta-county,Stop Project Sail in Coweta County,2025-01-07T15:48:02+00:00,2687,56,GA,county,3
490925274,no-data-center-in-washington-twp-mi,"No data center in Washington Twp, MI",2025-12-13T21:38:20+00:00,2863,33,MI,state,4
490434506,halt-proposed-land-use-change-from-agriculture-to-business-park-in-bartow-county,Halt Proposed Land Use Change from Agriculture to Business Park in Bartow County,2025-02-23T00:06:56+00:00,2708,46,GA,city,2
32810633,preservingboonecounty,SAVE  BOONE  COUNTY  FARMLAND  BEFORE  IT'S  TOO  LATE,2022-03-25T13:53:24+00:00,2583,1,,none,1
490757201,no-data-center-monticello-mn,"NO Data Center Monticello,  MN",2025-09-05T18:56:58+00:00,2558,41,MN,city,3
491060959,new-zoning-ordinance-meeting-on-data-center-6-at-9-am,NEW ZONING ORDINANCE MEETING ON DATA CENTER 6/ AT 9 AM,2026-03-02T17:30:36+00:00,2433,30,AL,city,10
490723267,petition-regarding-the-rankin-county-data-center-s-risks-to-the-community,Petition Regarding the Rankin County Data Center's Risks to the Community,2025-08-23T22:31:32+00:00,2673,57,MS,city,3
491293194,stop-data-centers-in-el-dorado-kansas,"Stop data centers in El Dorado, Kansas",2026-05-20T23:54:29+00:00,2279,20,KS,city,4
491247818,kansas-citizens-demand-statewide-data-center-moratorium,Kansas citizens demand statewide data center moratorium.,2026-05-16T15:53:37+00:00,2436,24,KS,state,23
490957457,stop-the-qts-data-center-in-york-county-sc,"Stop the QTS data center in York County, SC",2026-01-08T21:58:21+00:00,2311,48,SC,county,6
490762510,stop-aps-electricity-rate-hikes-in-arizona,Stop APS Electricity Rate Hikes in Arizona,2025-09-08T21:15:08+00:00,2444,33,AZ,city,3
490764621,no-janesville-data-center,No Janesville Data Center,2025-09-09T20:03:44+00:00,2301,40,WI,city,5
491192986,bristol-ct-say-no-to-the-data-center,"Bristol,  CT - say NO to the data center!",2026-04-16T15:03:36+00:00,2230,49,CT,city,7
490863763,stop-the-intrusion-of-disruptive-data-centers-in-hood-county,Stop the intrusion of disruptive data centers in Hood County,2025-11-01T16:15:18+00:00,2132,33,TX,county,5
490795568,prevent-the-construction-of-a-data-center-in-dundee-mi,"Prevent the construction of a data center in Dundee, MI",2025-09-24T16:13:04+00:00,2063,23,MI,city,7
490871970,stop-the-data-center-f340a791-4f7e-4da8-a997-b0b2ce26319a,Stop the data center!,2025-11-06T14:20:29+00:00,2058,40,OK,city,5
490829545,no-conshy-or-plymouth-data-centers-updated-for-june-2026,No Conshy or Plymouth Data Centers (Updated for June 2026),2025-10-12T15:40:51+00:00,3652,36,PA,city,0
490922915,stop-the-massive-data-center-in-van-buren-township-michigan,"Stop the massive Data Center in Van Buren Township, Michigan.",2025-12-12T00:36:11+00:00,2489,34,MI,city,3
490829282,oppose-the-data-center-proposal-for-franklin-kentucky,"Oppose the data center proposal for Franklin, Kentucky",2025-10-12T12:07:18+00:00,1868,35,KY,city,0
491203987,stop-any-data-centers-from-being-built-in-webster-county-mo,"Stop any data centers from being built in Webster County, MO",2026-04-23T15:17:38+00:00,1813,24,MO,city,3
491049502,ban-new-data-centers-on-farmland-and-in-towns,Ban new data centers on farmland and in towns,2026-02-23T18:41:45+00:00,1943,35,,none,4
491165369,deny-the-construction-of-the-ai-data-center-campus-in-cedar-city-utah,"Deny the construction of the ai data center campus in Cedar City, Utah",2026-03-31T01:23:11+00:00,1842,56,UT,city,6
490924321,stop-the-building-of-an-ai-data-center-in-lyon-township,Stop the building of an AI data center in Lyon Township,2025-12-13T02:22:39+00:00,1839,25,MI,city,8
491180186,prevent-big-data-centers-from-building-in-lowndes-county-and-hope-hull,Prevent big DATA CENTERS from building in Lowndes County and Hope Hull,2026-04-09T12:10:33+00:00,1886,27,AL,state,3
35555918,protect-waterford-from-data-center-noise-pollution,Protect Waterford from Data Center Noise Pollution,2023-02-26T21:46:21+00:00,1625,2,,none,0
490921574,ban-ai-data-centers-in-rogers-county-permanently,Ban AI Data Centers in Rogers County Permanently,2025-12-11T02:07:04+00:00,1636,37,OK,county,2
491034019,project-jack-wise-county-water-stop-the-data-centers,Project Jack/Wise County Water: Stop the Data Centers!!,2026-02-15T17:18:27+00:00,1593,36,TX,county,12
491161521,stop-the-development-of-data-centers-in-putnam-county-wv,Stop the  development of Data Centers in Putnam County WV,2026-03-28T07:24:40+00:00,1579,40,WV,city,3
491051660,restrict-data-center-construction-in-everett-ma,"Restrict data center construction in Everett, MA",2026-02-24T15:05:47+00:00,1482,19,MA,city,19
491018045,protect-wisconsin-s-driftless-region-from-data-centers-and-crypto-mining,Protect Wisconsin’s Driftless region from data centers and crypto mining,2026-02-06T21:00:28+00:00,1599,11,WI,county,7
491166263,stop-the-nextnrg-data-center-in-nassau-county,Stop the NextNRG Data Center in Nassau County,2026-03-31T16:22:48+00:00,1530,24,FL,county,1
491171860,stop-the-data-center-development-in-athens-texas,"Stop the data center development in Athens, Texas",2026-04-03T22:21:49+00:00,1406,23,TX,city,5
490746398,prevent-data-center-construction-in-iredell-county-residential-agricultural-area,Prevent Data Center Construction in Iredell County Residential Agricultural Area,2025-08-31T21:33:09+00:00,1397,20,NC,county,8
491012010,no-data-center-in-pulaski-county-va,No Data Center in Pulaski County VA,2026-02-04T02:38:17+00:00,1442,35,VA,county,11
490968311,protect-horseshoe-bend-stop-the-page-data-center-project,Protect Horseshoe Bend: Stop the Page Data Center Project,2026-01-16T15:48:51+00:00,1363,24,AZ,state,1
491319499,pass-rules-to-protect-louisvillians-from-hyper-scale-data-centers,Pass Rules to Protect Louisvillians from Hyper-Scale Data Centers,2026-06-01T21:18:47+00:00,1924,17,KY,city,28
490958717,demand-public-input-opportunity-for-new-data-center-venture-in-downtown-chattanooga,Demand public input opportunity for new data center venture in downtown Chattanooga,2026-01-09T20:14:16+00:00,1250,36,TN,city,13
490968898,reject-data-center-proposals-in-madison-county-illinois,"Reject Data Center Proposals in Madison County, Illinois",2026-01-16T23:11:20+00:00,1274,20,IL,county,14
490858549,reject-plans-for-a-data-center-in-rochelle-illinois,"Reject plans for a data center in Rochelle, Illinois",2025-10-29T15:40:49+00:00,1072,19,IL,city,6
490034372,act-today-preserve-tomorrow-idaho-against-industrial-scale-solar,Act Today | Preserve Tomorrow: Idaho Against Industrial Scale Solar,2024-04-29T02:13:44+00:00,1029,13,ID,state,0
490266461,prevent-the-construction-of-the-proposed-power-plant-and-data-centers-in-chatham-va,"Prevent the Construction of the Proposed Power Plant and Data Centers in Chatham, VA",2024-10-23T21:33:48+00:00,964,28,VA,city,1
